#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12524 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:96 out:96 type:B dur:2 cpbdur:2 q:33.27 aq:30.75 tex:14473 mv:9150 misc:2793 imb:44 pmb:1036 smb:7080 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:33.36 aq:33.14 tex:6942 mv:5977 misc:2265 imb:39 pmb:701 smb:7420 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:33.19 aq:31.28 tex:5085 mv:5137 misc:1850 imb:21 pmb:522 smb:7617 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:32.71 aq:23.89 tex:120818 mv:21045 misc:5241 imb:824 pmb:2060 smb:5276 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:32.91 aq:31.14 tex:24961 mv:16594 misc:3053 imb:181 pmb:1408 smb:6571 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:33.00 aq:31.74 tex:11147 mv:7808 misc:2701 imb:58 pmb:902 smb:7200 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:32.81 aq:32.31 tex:9516 mv:7476 misc:2704 imb:42 pmb:921 smb:7197 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:32.35 aq:24.11 tex:121796 mv:20921 misc:4427 imb:571 pmb:2071 smb:5518 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:32.53 aq:30.53 tex:25528 mv:16299 misc:3037 imb:79 pmb:1443 smb:6638 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:32.62 aq:32.27 tex:6574 mv:6620 misc:2622 imb:19 pmb:848 smb:7293 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:32.44 aq:32.23 tex:4521 mv:5081 misc:2558 imb:11 pmb:771 smb:7378 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:31.81 aq:23.92 tex:96465 mv:19869 misc:4314 imb:476 pmb:2046 smb:5638 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:32.08 aq:30.01 tex:12888 mv:8111 misc:2841 imb:48 pmb:986 smb:7126 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:32.22 aq:31.49 tex:5391 mv:4532 misc:2509 imb:11 pmb:735 smb:7414 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:31.95 aq:30.66 tex:3418 mv:3618 misc:1532 imb:13 pmb:342 smb:7805 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:31.29 aq:24.37 tex:108693 mv:19965 misc:4030 imb:436 pmb:2023 smb:5701 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:31.55 aq:29.73 tex:22144 mv:15002 misc:3014 imb:71 pmb:1342 smb:6747 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:31.68 aq:31.54 tex:4535 mv:4404 misc:2501 imb:14 pmb:711 smb:7435 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:31.42 aq:30.98 tex:5597 mv:4267 misc:2552 imb:15 pmb:737 smb:7408 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:30.78 aq:25.57 tex:96194 mv:17752 misc:3902 imb:287 pmb:2019 smb:5854 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:31.04 aq:28.99 tex:29687 mv:13960 misc:3153 imb:65 pmb:1429 smb:6666 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:31.16 aq:30.43 tex:4385 mv:3722 misc:2573 imb:13 pmb:697 smb:7450 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:30.91 aq:30.23 tex:5407 mv:3506 misc:2655 imb:17 pmb:718 smb:7425 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:30.30 aq:26.94 tex:122144 mv:19229 misc:3419 imb:527 pmb:1913 smb:5720 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:30.54 aq:28.25 tex:23628 mv:8635 misc:3353 imb:58 pmb:1199 smb:6903 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:30.66 aq:29.83 tex:8088 mv:4771 misc:2965 imb:29 pmb:822 smb:7309 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:30.42 aq:28.03 tex:10762 mv:4804 misc:2018 imb:46 pmb:478 smb:7636 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:29.82 aq:26.84 tex:118466 mv:20177 misc:3541 imb:647 pmb:1786 smb:5727 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:30.06 aq:27.58 tex:53022 mv:21078 misc:3612 imb:195 pmb:1814 smb:6151 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:30.18 aq:28.72 tex:11189 mv:6391 misc:3084 imb:46 pmb:876 smb:7238 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:29.94 aq:28.75 tex:19171 mv:8531 misc:3386 imb:103 pmb:1043 smb:7014 d:- ref:0 ;
in:128 out:127 type:P dur:2 cpbdur:2 q:29.33 aq:20.79 tex:206874 mv:43360 misc:646 imb:7509 pmb:646 smb:5 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:29.58 aq:28.68 tex:67999 mv:17164 misc:3741 imb:292 pmb:1714 smb:6154 d:- ref:0 ;
